,count,mean,std,min,25%,50%,75%,max
bank_service,212.0,3.709433962264151,1.054040144373118,1.0,3.0,4.0,4.6,5.0
bank_security_control,212.0,3.672169811320755,1.1353138111114636,1.0,3.0,4.0,4.5,5.0
bank_satisfaction,212.0,3.69811320754717,1.0943180379423365,1.0,3.0,4.0,5.0,5.0
bank_future,212.0,3.599056603773585,1.0861467422019893,1.0,3.0,4.0,4.0,5.0
mox_support,164.0,3.402439024390244,1.1281099465361917,1.0,3.0,4.0,4.0,5.0
ai_attitude,232.0,3.913793103448276,1.002757803469892,1.0,3.0,4.0,5.0,5.0
